ACRR	ACRR	-	
RCSAB	CSGD	-	
RCSAB	FLHC	-	
RCSAB	FLHD	-	
RCSAB	RCSA	+	
RCSB	GADX	-	
RCSB	YDEO	+	
RCSB-BGLJ	LEUO	+	
RELB	RELB	-	
RELB	RELE	-	
RELB-RELE	RELB	-	
RELB-RELE	RELE	-	
RHAR	RHAR	+	
RHAR	RHAS	+	
RHAS	RHAR	+	
RHAS	RHAR	?	
RHAS	RHAS	+	
RHAS	RHAS	?	
ROB	MARA	+	
ROB	MARR	+	
ROB	ROB	-	
RSTA	CSGD	-	
RUTR	GADW	-	
RUTR	GADX	-	
RUTR	NEMR	-	
RUTR	RUTR	-	
SDIA	GADW	+	
SGRR	SGRR	-	
SOXR	SOXR	-	
SOXR	SOXS	+	
SOXS	FUR	+	
SOXS	MARA	+	
SOXS	MARR	+	
SOXS	ROB	-	
SOXS	SOXS	-	
STPA	LEUO	-	
STPA	STPA	-	
TDCA	TDCA	+	
TDCR	TDCA	+	
TORR	GADX	-	
TORR	TORR	-	
TRPR	TRPR	-	
TYRR	TYRR	-	
UIDR	UIDR	-	
UXUR	UXUR	-	
XYLR	XYLR	+	
YDEO	GADE	+	
YDEO	YDEO	-	
YEFM	YEFM	-	
YEFM	YOEB	-	
YEFM-YOEB	YEFM	-	
YEFM-YOEB	YOEB	-	
YEIL	YEIL	+	
YIAJ	YIAJ	-	
YQJI	YQJI	-	
ZRAR	ZRAR	+	
